City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Rio Tuba,PH,79.83,light rain,8.51,117.43,Triple J Lodging House
13,Ailigandi,PA,80.74,light rain,9.23,-78.02,Akwa Reef Lodge
14,Butaritari,KI,80.29,overcast clouds,3.07,172.79,Isles Sunset Lodge
18,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
23,Faanui,PF,80.94,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Saint-Philippe,RE,80.6,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
26,Puerto Ayora,EC,84.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
27,Carnarvon,AU,73.4,overcast clouds,-24.87,113.63,Hospitality Carnarvon
29,Butaritari,KI,80.29,overcast clouds,3.07,172.79,Isles Sunset Lodge
31,Cabo San Lucas,MX,78.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
32,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
36,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
47,Mar Del Plata,AR,71.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata
51,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
52,Ambon,ID,80.01,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
53,Sassandra,CI,78.66,scattered clouds,4.95,-6.08,la terrasse
57,Kavaratti,IN,81.91,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
60,Puerto Ayora,EC,84.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
62,Puerto Ayora,EC,84.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
65,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
66,Kalmunai,LK,75.87,light rain,7.42,81.82,VS Villa
67,Dicabisagan,PH,76.42,light rain,17.08,122.42,Nancy Montanes Bernardo
69,Hilo,US,80.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
75,Cayenne,GF,82.4,broken clouds,4.93,-52.33,Hôtel Le Dronmi
79,Broken Hill,AU,77.0,clear sky,-31.95,141.43,Daydream Motel & Cottages
80,Faanui,PF,80.94,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
82,Belawan,ID,75.2,light rain,3.78,98.68,Lilik Hidayat Pulungan
83,Upata,VE,73.08,light rain,8.01,-62.4,Posada Villa Nela
87,Cap Malheureux,MU,80.01,light rain,-19.98,57.61,Pereybere Hotel & Spa
91,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
94,Isangel,VU,84.2,few clouds,-19.55,169.27,Volcano Sea View Tree House
95,Hwange,ZW,73.2,overcast clouds,-18.37,26.5,Hwange Colliery Guest House
97,Orocue,CO,85.26,few clouds,4.79,-71.34,Hotel Brisas de San Miguel
102,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
104,Bengkulu,ID,74.17,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
107,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
109,Port Alfred,ZA,70.0,overcast clouds,-33.59,26.89,The Halyards Hotel
113,Vao,NC,77.09,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
115,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
116,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
118,Kloulklubed,PW,83.34,heavy intensity rain,7.04,134.26,Storyboard Beach Resort
124,Bengkulu,ID,74.17,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
126,Atuona,PF,78.91,few clouds,-9.8,-139.03,Villa Enata
130,Chuy,UY,71.17,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
132,Labuhan,ID,76.84,broken clouds,-6.88,112.21,bador sepret
138,Bubaque,GW,79.36,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
140,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
142,San Carlos De Bariloche,AR,77.0,scattered clouds,-41.15,-71.31,Hotel Patagonia
145,Pisco,PE,73.4,clear sky,-13.7,-76.22,Hotel San Isidro Oficial
146,Mana,GF,77.31,light rain,5.66,-53.78,LE SAMANA
151,Arraial Do Cabo,BR,73.4,moderate rain,-22.97,-42.03,Pousada Porto Praia
152,Trairi,BR,79.79,overcast clouds,-3.28,-39.27,janelas do mar
161,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
166,Saint-Pierre,RE,80.6,clear sky,-21.34,55.48,Lindsey Hôtel
170,Sambava,MG,77.22,overcast clouds,-14.27,50.17,Melrose
173,Ferkessedougou,CI,79.36,clear sky,9.6,-5.2,Hotel Chateau
175,Butaritari,KI,80.29,overcast clouds,3.07,172.79,Isles Sunset Lodge
176,Port Alfred,ZA,70.0,overcast clouds,-33.59,26.89,The Halyards Hotel
177,Saint-Pierre,RE,80.6,clear sky,-21.34,55.48,Lindsey Hôtel
178,Hilo,US,80.6,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
179,Rikitea,PF,77.88,light rain,-23.12,-134.97,Pension Maro'i
180,Kapaa,US,73.4,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
184,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
185,Butaritari,KI,80.29,overcast clouds,3.07,172.79,Isles Sunset Lodge
188,Byron Bay,AU,71.6,broken clouds,-28.65,153.62,Backpackers Inn on the Beach
190,East London,ZA,70.12,clear sky,-33.02,27.91,Tu Casa
199,Saint-Pierre,RE,80.6,clear sky,-21.34,55.48,Lindsey Hôtel
