City_DF,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.19,168.86,52.84,53,36,4.99,light rain
1,Cape Town,ZA,-33.93,18.42,69.01,82,20,10.29,few clouds
2,Bluff,NZ,-46.6,168.33,51.28,54,13,7.07,few clouds
3,Airai,TL,-8.93,125.41,62.04,100,100,0.67,overcast clouds
4,Yellowknife,CA,62.46,-114.35,5.0,84,90,2.24,light snow
5,Saldanha,ZA,-33.01,17.94,66.2,82,0,10.29,clear sky
6,Qaanaaq,GL,77.48,-69.36,-3.95,85,98,4.14,overcast clouds
7,Toul,FR,48.67,5.92,37.4,86,0,8.05,clear sky
8,Rio Tuba,PH,8.51,117.43,79.83,81,100,7.61,light rain
9,Klaksvik,FO,62.23,-6.59,41.0,75,46,10.29,scattered clouds
10,Nyandoma,RU,61.67,40.2,15.8,97,100,9.73,light snow
11,Hasaki,JP,35.73,140.83,26.6,86,0,3.36,clear sky
12,Punta Arenas,CL,-53.15,-70.92,57.2,50,40,19.46,scattered clouds
13,Ailigandi,PA,9.23,-78.02,80.74,79,72,14.29,light rain
14,Butaritari,KI,3.07,172.79,80.29,75,100,19.01,overcast clouds
15,Hobart,AU,-42.88,147.33,61.0,66,20,10.29,few clouds
16,Mahon,ES,39.89,4.27,48.2,39,0,19.46,clear sky
17,Trondheim,NO,63.43,10.4,30.99,81,100,1.01,overcast clouds
18,Rikitea,PF,-23.12,-134.97,77.88,75,96,14.97,light rain
19,Tsnori,GE,41.62,45.97,30.2,86,20,11.41,few clouds
20,Dikson,RU,73.51,80.55,-15.45,85,0,7.74,clear sky
21,Bredasdorp,ZA,-34.53,20.04,64.4,88,5,2.24,clear sky
22,Vestmannaeyjar,IS,63.44,-20.27,36.99,77,100,36.53,overcast clouds
23,Faanui,PF,-16.48,-151.75,80.94,77,100,14.72,light rain
24,Saint-Philippe,RE,-21.36,55.77,80.6,78,0,3.36,light rain
25,Yerofey Pavlovich,RU,53.97,121.97,-20.27,82,0,2.55,clear sky
26,Puerto Ayora,EC,-0.74,-90.35,84.2,62,75,14.99,broken clouds
27,Carnarvon,AU,-24.87,113.63,73.4,100,90,19.46,overcast clouds
